Unnamed: 0,type,filename,path,label
0,amazon,frame_0004.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0004.jpg,back_pack
1,amazon,frame_0013.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0013.jpg,back_pack
2,amazon,frame_0002.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0002.jpg,back_pack
3,amazon,frame_0019.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0019.jpg,back_pack
4,amazon,frame_0001.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0001.jpg,back_pack
5,amazon,frame_0006.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0006.jpg,back_pack
6,amazon,frame_0017.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0017.jpg,back_pack
7,amazon,frame_0008.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0008.jpg,back_pack
8,amazon,frame_0003.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0003.jpg,back_pack
9,amazon,frame_0014.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0014.jpg,back_pack
10,amazon,frame_0005.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0005.jpg,back_pack
11,amazon,frame_0011.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0011.jpg,back_pack
12,amazon,frame_0022.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0022.jpg,back_pack
13,amazon,frame_0012.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0012.jpg,back_pack
14,amazon,frame_0015.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0015.jpg,back_pack
15,amazon,frame_0009.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0009.jpg,back_pack
16,amazon,frame_0023.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0023.jpg,back_pack
17,amazon,frame_0020.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0020.jpg,back_pack
18,amazon,frame_0018.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0018.jpg,back_pack
19,amazon,frame_0021.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0021.jpg,back_pack
20,amazon,frame_0007.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0007.jpg,back_pack
21,amazon,frame_0016.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0016.jpg,back_pack
22,amazon,frame_0024.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0024.jpg,back_pack
23,amazon,frame_0010.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0010.jpg,back_pack
24,amazon,frame_0032.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0032.jpg,back_pack
25,amazon,frame_0030.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0030.jpg,back_pack
26,amazon,frame_0028.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0028.jpg,back_pack
27,amazon,frame_0043.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0043.jpg,back_pack
28,amazon,frame_0044.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0044.jpg,back_pack
29,amazon,frame_0029.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0029.jpg,back_pack
30,amazon,frame_0031.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0031.jpg,back_pack
31,amazon,frame_0039.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0039.jpg,back_pack
32,amazon,frame_0049.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0049.jpg,back_pack
33,amazon,frame_0045.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0045.jpg,back_pack
34,amazon,frame_0035.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0035.jpg,back_pack
35,amazon,frame_0050.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0050.jpg,back_pack
36,amazon,frame_0040.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0040.jpg,back_pack
37,amazon,frame_0055.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0055.jpg,back_pack
38,amazon,frame_0025.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0025.jpg,back_pack
39,amazon,frame_0038.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0038.jpg,back_pack
40,amazon,frame_0037.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0037.jpg,back_pack
41,amazon,frame_0036.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0036.jpg,back_pack
42,amazon,frame_0053.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0053.jpg,back_pack
43,amazon,frame_0046.jpg,/notebooks/office_31/amazon/images/back_pack/frame_0046.jpg,back_pack
